# MCMC min boundaries for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
12, 10.2, 0.3, 0.15, 0, 0.19
12.4, 10.6, 0.3, 0.2, 0, 0.2
12.4, 10.6, 0.3, 0.4, 0, 0.2
12.4, 10.6, 0.3, 0.1, 0, 0.2
12.5, 10.6, 0.3, 0, 0, 0.2
12.6, 10.7, 0.4, 0, 0, 0.2
12.5, 10.4, 0.3, 0, 0, 0.2
12, 10, 0.1, 0, 0, 0.2
12.5, 10.8, 0.4, 0, 0, 0.2
12.5, 10.8, 0.3, 0, 0, 0.2
