# MCMC min boundaries for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
13, 11.5, 0.7, 1, 5, 0.7
13, 11.5, 0.6, 1, 3, 0.7
13, 11.12, 0.6, 1, 4, 0.7
13, 11.5, 0.55, 1, 3, 0.7
13, 11.5, 0.55, 1, 3, 0.7
14, 12, 0.65, 1, 5, 0.7
13.8, 12, 0.7, 1, 2.5, 0.7
15, 15, 1, 1, 5, 0.7
16, 15, 0.8, 1, 5, 0.7
16, 15.3, 0.85, 1, 5, 0.7
