# MCMC min boundaries for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
12, 10.6, 0.3, 0.3, 0, 0
12.4, 10.8, 0.3, 0.2, 0, -1
12.5, 10.6, 0.3, 0.2, 0, -1
12.4, 10.8, 0.3, 0.3, 0.4, -1
12.5, 10.6, 0.3, 0.3, 0.5, -1
12.6, 10.7, 0.4, 0.2, 0.5, -1
12.5, 10.4, 0.3, 0, 0, -1
12, 10, 0.1, 0, 0, -1
12.5, 10.8, 0.4, 0, 0, -1
12.5, 10.8, 0.3, 0, 0, -1
