# MCMC min boundaries for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
14, 13, 1, 1.5, 5, 1
16, 15.3, 0.85, 1, 5, 1
