# MCMC Starting Point for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
12.5, 10.8, 0.5, 0.5, 1, 0.05
12.7, 11, 0.45, 0.45, 1.2, 0.2
12.7, 11, 0.48, 0.4, 1.6, 0.2
12.7, 10.9, 0.4, 0.42, 1.2, 0.2
13.2, 11.2, 0.5, 0.4, 1.6, 0.2
13.2, 11.2, 0.5, 0.4, 1.6, 0.2
13.2, 11.2, 0.55, 0.4, 0.9, 0.2
13.4, 11.5, 0.7, 0.2, 0.4, 0.2
13.5, 11.5, 0.65, 0.2, 0.5, 0.2
13.8, 12, 0.5, 0.2, 0.2, 0.2
