# MCMC Starting Point for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
12.6, 10.8, 0.45, 0.5, 1, 0.05
12.75, 11, 0.45, 0.6, 0.6, 0.05
12.7, 11, 0.43, 0.4, 0.5, 0.05
12.7, 10.9, 0.4, 0.5, 0.5, 0.05
12.9, 11, 0.42, 0.7, 0.3, 0.05
13.2, 11.3, 0.5, 0.4, 1.6, 0.1
13.2, 11.2, 0.55, 0.4, 0.9, 0.1
13.4, 11.5, 0.7, 0.2, 0.4, 0.1
13.5, 11.5, 0.65, 0.2, 0.5, 0.1
13.8, 12, 0.5, 0.2, 0.2, 0.3
