# MCMC min boundaries for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
12., 10.2, 0.3, 0.3, 0, 0
12.4, 10.65, 0.3, 0.2, 0, 0
12., 10.6, 0.3, 0.2, 0, 0
12.4, 10.6, 0.3, 0.3, 0, 0
12.4, 10.6, 0.3, 0.2, 0, 0
12.6, 10.8, 0.4, 0.2, 0, 0
12.7, 10.5, 0.4, 0, 0, 0
12.5, 10.4, 0.2, 0, 0, 0
12.5, 10.8, 0.4, 0, 0, 0
12.5, 10.8, 0.3, 0, 0, 0
