# MCMC min boundaries for each redshift bin in COSMOS
# M1, Ms0, beta, delta, gamma, ksi
13, 11.5, 1, 1, 5, 0.001
13, 11.5, 1, 1, 5, 0.001
13, 11.5, 1, 1.2, 5, 0.001
13.2, 11.5, 1, 1, 5, 0.001
13.2, 11.5, 1, 1.2, 5, 0.001
14, 12, 1, 1, 5, 0.001
13.8, 12, 1, 1, 5, 0.001
15, 15, 1, 1, 5, 0.001
16, 15, 1, 1, 5, 0.001
16, 15.3, 1, 1, 5, 0.001
